Command main.py play --no-gui --agents ppo3_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 84, Game Loss -1.2868747863164715e+19, Mean Loss -2.624366305100169e+18, Actions 8, Mean reward 1202.6817972211288, Final reward 1.0,  Reward 790.8571428571429, Record 4684.0
Game 85, Game Loss -1.5853059915460379e+19, Mean Loss -2.779998052843258e+18, Actions 8, Mean reward 1197.4737760773507, Final reward 0.5,  Reward 760.0, Record 4684.0
Game 86, Game Loss -1.2008549339220673e+19, Mean Loss -2.887306814301405e+18, Actions 6, Mean reward 1190.212453099707, Final reward 0.5,  Reward 573.0, Record 4684.0
Game 87, Game Loss -1.7467661954523857e+19, Mean Loss -3.0548971253860925e+18, Actions 19, Mean reward 1198.1556746419258, Final reward 1.0,  Reward 1881.2727272727273, Record 4684.0
Game 88, Game Loss -1.702008375620508e+19, Mean Loss -3.213592387402072e+18, Actions 20, Mean reward 1208.676632884631, Final reward 1.0,  Reward 2124.0, Record 4684.0
Game 89, Game Loss -2.2002613056448758e+19, Mean Loss -3.424704942126924e+18, Actions 9, Mean reward 1204.5847606050284, Final reward 0.5,  Reward 844.5, Record 4684.0
Game 90, Game Loss -1.3500454676717371e+19, Mean Loss -3.53665776582289e+18, Actions 5, Mean reward 1195.6449299316394, Final reward 0.0,  Reward 400.0, Record 4684.0
Game 91, Game Loss -2.221324869800506e+19, Mean Loss -3.7418950801647206e+18, Actions 10, Mean reward 1193.350442617932, Final reward 0.5,  Reward 986.8465843842648, Record 4684.0
Game 92, Game Loss -2.5029713703250952e+19, Mean Loss -3.9732842785732035e+18, Actions 20, Mean reward 1201.7198218648384, Final reward 0.5,  Reward 1963.3333333333333, Record 4684.0
Game 93, Game Loss -2.031150919734788e+19, Mean Loss -4.1489642464592527e+18, Actions 9, Mean reward 1197.615307651238, Final reward 0.0,  Reward 820.0, Record 4684.0
Game 94, Game Loss -1.958130373413254e+19, Mean Loss -4.313138100038533e+18, Actions 6, Mean reward 1190.7576979953737, Final reward 0.5,  Reward 553.0, Record 4684.0
Game 95, Game Loss -2.71382119674649e+19, Mean Loss -4.553401731672703e+18, Actions 16, Mean reward 1195.0234064375277, Final reward 1.0,  Reward 1596.0, Record 4684.0
Game 96, Game Loss -2.635107599118657e+19, Mean Loss -4.780461053291004e+18, Actions 16, Mean reward 1199.7895899334428, Final reward 0.5,  Reward 1652.5770220453826, Record 4684.0
Game 97, Game Loss -2.4414970155091624e+19, Mean Loss -4.982878395185496e+18, Actions 11, Mean reward 1197.7299034392836, Final reward 0.0,  Reward 1000.0, Record 4684.0
Game 98, Game Loss -3.0337194868990804e+19, Mean Loss -5.241596229980258e+18, Actions 12, Mean reward 1197.7394622477264, Final reward 1.0,  Reward 1198.6666666666667, Record 4684.0
Game 99, Game Loss -2.4845103501924106e+19, Mean Loss -5.439611127317135e+18, Actions 17, Mean reward 1204.10573030583, Final reward 0.0,  Reward 1828.0, Record 4684.0
Game 100, Game Loss -2.400533390402414e+19, Mean Loss -5.625268613469438e+18, Actions 7, Mean reward 1198.2646730027718, Final reward 0.0,  Reward 620.0, Record 4684.0
Game 101, Game Loss -3.001784391572652e+19, Mean Loss -5.86677964104532e+18, Actions 12, Mean reward 1197.4897752502693, Final reward 0.0,  Reward 1120.0, Record 4684.0
Game 102, Game Loss -2.3067050263298703e+19, Mean Loss -6.035410090129883e+18, Actions 5, Mean reward 1190.0879147085998, Final reward 0.5,  Reward 442.5, Record 4684.0
Game 103, Game Loss -2.670602473291173e+19, Mean Loss -6.236095151454814e+18, Actions 21, Mean reward 1199.3152165075455, Final reward 0.5,  Reward 2140.5, Record 4684.0
Game 104, Game Loss -3.267316889485207e+19, Mean Loss -6.490297841750114e+18, Actions 19, Mean reward 1207.191993271896, Final reward 1.5,  Reward 2018.5, Record 4684.0
Game 105, Game Loss -2.762533740001152e+19, Mean Loss -6.691584335935439e+18, Actions 5, Mean reward 1199.6949266693066, Final reward 0.0,  Reward 420.0, Record 4684.0
Game 106, Game Loss -3.3476562250058695e+19, Mean Loss -6.944272998719291e+18, Actions 16, Mean reward 1202.9808235875207, Final reward 0.5,  Reward 1548.0, Record 4684.0
Game 107, Game Loss -2.704734392849898e+19, Mean Loss -7.132152597871329e+18, Actions 6, Mean reward 1196.5978252362354, Final reward 0.0,  Reward 520.0, Record 4684.0
Game 108, Game Loss -2.5575335353418514e+19, Mean Loss -7.302922146827731e+18, Actions 5, Mean reward 1189.7388947556528, Final reward 0.5,  Reward 455.8333333333333, Record 4684.0
Game 109, Game Loss -2.968228616106882e+19, Mean Loss -7.508237801373041e+18, Actions 8, Mean reward 1185.649547097344, Final reward 0.5,  Reward 744.0, Record 4684.0
Game 110, Game Loss -2.6311445194075013e+19, Mean Loss -7.679176125364306e+18, Actions 5, Mean reward 1178.5072784873682, Final reward 0.0,  Reward 400.0, Record 4684.0
Game 111, Game Loss -3.229677967638528e+19, Mean Loss -7.900956416779747e+18, Actions 7, Mean reward 1173.2955012036984, Final reward 0.0,  Reward 600.0, Record 4684.0
Game 112, Game Loss -3.692848340350796e+19, Mean Loss -8.160130548900037e+18, Actions 9, Mean reward 1169.9625056572368, Final reward 0.0,  Reward 800.0, Record 4684.0
Game 113, Game Loss -3.0336154730990928e+19, Mean Loss -8.356378531051078e+18, Actions 8, Mean reward 1165.980536580624, Final reward 0.0,  Reward 720.0, Record 4684.0
Game 114, Game Loss -3.475415298009255e+19, Mean Loss -8.587937878883959e+18, Actions 7, Mean reward 1161.748251172022, Final reward 0.5,  Reward 683.4999999999999, Record 4684.0
Game 115, Game Loss -3.5076910220379685e+19, Mean Loss -8.818276768810009e+18, Actions 8, Mean reward 1158.7881214516858, Final reward 1.0,  Reward 821.3333333333334, Record 4684.0
Game 116, Game Loss -4.673157074708437e+19, Mean Loss -9.145115946015261e+18, Actions 29, Mean reward 1173.8022632618313, Final reward 1.0,  Reward 2900.4285714285716, Record 4684.0
Game 117, Game Loss -3.5018161115084358e+19, Mean Loss -9.366253572884267e+18, Actions 7, Mean reward 1169.0689105843799, Final reward 0.0,  Reward 620.0, Record 4684.0
Game 118, Game Loss -5.2560658030017905e+19, Mean Loss -9.732307382049964e+18, Actions 12, Mean reward 1168.4835808336647, Final reward 0.0,  Reward 1100.0, Record 4684.0
Game 119, Game Loss -3.234203117693803e+19, Mean Loss -9.922305190352912e+18, Actions 6, Mean reward 1163.0341389779196, Final reward 0.0,  Reward 520.0, Record 4684.0
Game 120, Game Loss -4.3537889690627604e+19, Mean Loss -1.020243436483117e+19, Actions 10, Mean reward 1161.7495952271777, Final reward 1.0,  Reward 1008.8888888888889, Record 4684.0
Game 121, Game Loss -4.591140983955417e+19, Mean Loss -1.0497549882796016e+19, Actions 8, Mean reward 1157.9334828699282, Final reward 0.0,  Reward 700.0, Record 4684.0
Game 122, Game Loss -3.5799047467270406e+19, Mean Loss -1.0704939766027125e+19, Actions 7, Mean reward 1153.7823887480436, Final reward 0.5,  Reward 651.5, Record 4684.0
Game 123, Game Loss -4.574036101464431e+19, Mean Loss -1.0989780347830403e+19, Actions 6, Mean reward 1148.6296864004985, Final reward 0.0,  Reward 520.0, Record 4684.0
Game 124, Game Loss -3.786001164479234e+19, Mean Loss -1.1206476497479008e+19, Actions 5, Mean reward 1142.5923502198493, Final reward 0.0,  Reward 400.0, Record 4684.0
Game 125, Game Loss -4.993910125200461e+19, Mean Loss -1.1516338665395585e+19, Actions 16, Mean reward 1145.8799395753904, Final reward 0.0,  Reward 1553.5410196624969, Record 4684.0
Game 126, Game Loss -3.8043440970630955e+19, Mean Loss -1.1726870952858878e+19, Actions 5, Mean reward 1140.1388289438396, Final reward 0.5,  Reward 422.5, Record 4684.0
Game 127, Game Loss -4.241855166917955e+19, Mean Loss -1.1968538111085904e+19, Actions 9, Mean reward 1138.476318479715, Final reward 1.0,  Reward 929.0, Record 4684.0
Game 128, Game Loss -4.849631329794392e+19, Mean Loss -1.2253910856517026e+19, Actions 9, Mean reward 1135.9882222415922, Final reward 0.0,  Reward 820.0, Record 4684.0
Game 129, Game Loss -4.19273954270055e+19, Mean Loss -1.2483937485140787e+19, Actions 7, Mean reward 1131.988313542045, Final reward 0.0,  Reward 620.0, Record 4684.0
Game 130, Game Loss -6.349823906331964e+19, Mean Loss -1.2876355384117297e+19, Actions 24, Mean reward 1140.9730188224908, Final reward 0.0,  Reward 2300.0, Record 4684.0
Game 131, Game Loss -4.760569128725932e+19, Mean Loss -1.3141465229760135e+19, Actions 5, Mean reward 1135.3167362360596, Final reward 0.0,  Reward 400.0, Record 4684.0
Game 132, Game Loss -3.968427295908666e+19, Mean Loss -1.3342547214782693e+19, Actions 6, Mean reward 1130.806760961544, Final reward 0.0,  Reward 540.0, Record 4684.0
Game 133, Game Loss -5.916907915471906e+19, Mean Loss -1.3687107770648625e+19, Actions 18, Mean reward 1135.982800493612, Final reward 0.5,  Reward 1819.2200187265873, Record 4684.0
Game 134, Game Loss -4.682838934297982e+19, Mean Loss -1.393443081668893e+19, Actions 5, Mean reward 1130.8821825794805, Final reward 0.5,  Reward 452.5, Record 4684.0
Game 135, Game Loss -6.324610785293107e+19, Mean Loss -1.429970287308728e+19, Actions 13, Mean reward 1132.2805861653117, Final reward 1.0,  Reward 1319.6666666666667, Record 4684.0
Game 136, Game Loss -6.069834589732759e+19, Mean Loss -1.4640870336069894e+19, Actions 10, Mean reward 1131.0505818552724, Final reward 0.5,  Reward 965.0, Record 4684.0
Game 137, Game Loss -7.398324351844273e+19, Mean Loss -1.5074026240367133e+19, Actions 26, Mean reward 1141.283789286986, Final reward 0.5,  Reward 2533.0, Record 4684.0
Game 138, Game Loss -7.1455884100604264e+19, Mean Loss -1.548259156710916e+19, Actions 8, Mean reward 1138.375935741428, Final reward 0.0,  Reward 740.0, Record 4684.0
Game 139, Game Loss -5.323568340268168e+19, Mean Loss -1.5754196227937272e+19, Actions 7, Mean reward 1134.6466124627127, Final reward 0.0,  Reward 620.0, Record 4684.0
Game 140, Game Loss -6.326216951878962e+19, Mean Loss -1.6093538501617779e+19, Actions 19, Mean reward 1140.1419938022648, Final reward 0.0,  Reward 1904.0, Record 4684.0
Game 141, Game Loss -6.384759788792919e+19, Mean Loss -1.6432219968809992e+19, Actions 12, Mean reward 1140.0416959738798, Final reward 0.5,  Reward 1126.0, Record 4684.0
Game 142, Game Loss -7.998775568256467e+19, Mean Loss -1.6879794868593885e+19, Actions 12, Mean reward 1139.7597121994158, Final reward 0.0,  Reward 1100.0, Record 4684.0
Game 143, Game Loss -7.746742874109746e+19, Mean Loss -1.73034850772876e+19, Actions 7, Mean reward 1135.985168757462, Final reward 0.0,  Reward 600.0, Record 4684.0
Game 144, Game Loss -6.503030296350923e+19, Mean Loss -1.7634921862364398e+19, Actions 5, Mean reward 1130.8741606410906, Final reward 0.0,  Reward 400.0, Record 4684.0
Game 145, Game Loss -1.0064455331247607e+20, Mean Loss -1.8207401283063644e+19, Actions 15, Mean reward 1133.057787119428, Final reward 0.5,  Reward 1447.5, Record 4684.0
Game 146, Game Loss -8.52071989522685e+19, Mean Loss -1.8666303351636886e+19, Actions 13, Mean reward 1133.653281728199, Final reward 0.0,  Reward 1220.0, Record 4684.0
Game 147, Game Loss -7.62296249388263e+19, Mean Loss -1.9057892218846052e+19, Actions 8, Mean reward 1131.1386335531772, Final reward 0.5,  Reward 764.0, Record 4684.0
Game 148, Game Loss -8.949302490859517e+19, Mean Loss -1.9533804831812616e+19, Actions 15, Mean reward 1133.305167882451, Final reward 0.5,  Reward 1451.7857142857144, Record 4684.0
Game 149, Game Loss -7.472828139351677e+19, Mean Loss -1.9904236896280117e+19, Actions 6, Mean reward 1129.0547976282064, Final reward 0.0,  Reward 500.0, Record 4684.0
Game 150, Game Loss -8.678049453849969e+19, Mean Loss -2.0350077866227007e+19, Actions 10, Mean reward 1128.094432310685, Final reward 0.5,  Reward 985.0, Record 4684.0
Game 151, Game Loss -1.0274131319055188e+20, Mean Loss -2.089571490955736e+19, Actions 24, Mean reward 1136.133542030482, Final reward 0.5,  Reward 2342.0, Record 4684.0
Game 152, Game Loss -6.4586526876399305e+19, Mean Loss -2.118315363733707e+19, Actions 5, Mean reward 1131.570163464492, Final reward 0.5,  Reward 442.5, Record 4684.0
