Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 135, Game Loss -2.0790121595427226e+25, Mean Loss -5.567148386322477e+24, Actions 13, Mean reward 526.9727520542431, Final reward 0.0,  Reward 600.0, Record 2848.0
Game 136, Game Loss -2.303283062304865e+25, Mean Loss -5.695572889181386e+24, Actions 23, Mean reward 533.3920700538442, Final reward 0.0,  Reward 1400.0, Record 2848.0
Game 137, Game Loss -2.2601409701867776e+25, Mean Loss -5.818972960123218e+24, Actions 23, Mean reward 536.9439527541812, Final reward 0.0,  Reward 1020.0, Record 2848.0
Game 138, Game Loss -1.7102045606026402e+25, Mean Loss -5.90073411800467e+24, Actions 8, Mean reward 532.328416864658, Final reward 0.0,  Reward -100.0, Record 2848.0
Game 139, Game Loss -2.1783681677981296e+25, Mean Loss -6.015000168326255e+24, Actions 16, Mean reward 527.8930425584437, Final reward 0.0,  Reward -84.18861169915814, Record 2848.0
Game 140, Game Loss -2.3536154646785833e+25, Mean Loss -6.140150950572832e+24, Actions 18, Mean reward 528.7509493973118, Final reward 0.0,  Reward 648.0, Record 2848.0
Game 141, Game Loss -2.2413296723333114e+25, Mean Loss -6.255563581330748e+24, Actions 25, Mean reward 525.1427866356288, Final reward 0.0,  Reward 20.0, Record 2848.0
Game 142, Game Loss -1.599352426148347e+25, Mean Loss -6.324141081807021e+24, Actions 5, Mean reward 520.458682504392, Final reward 0.0,  Reward -140.0, Record 2848.0
Game 143, Game Loss -2.1860985064865185e+25, Mean Loss -6.432790675018913e+24, Actions 16, Mean reward 513.4624679414242, Final reward 0.0,  Reward -480.0, Record 2848.0
Game 144, Game Loss -1.933887703981734e+25, Mean Loss -6.522415910483288e+24, Actions 13, Mean reward 509.3134230251643, Final reward 0.0,  Reward -84.0, Record 2848.0
Game 145, Game Loss -2.429969305411278e+25, Mean Loss -6.645018159743932e+24, Actions 12, Mean reward 508.8905718318873, Final reward 0.0,  Reward 448.0, Record 2848.0
Game 146, Game Loss -2.1184132519626616e+25, Mean Loss -6.744601178243596e+24, Actions 13, Mean reward 506.7748829837237, Final reward 0.0,  Reward 200.0, Record 2848.0
Game 147, Game Loss -2.3156149413024407e+25, Mean Loss -6.8562443321422e+24, Actions 9, Mean reward 506.04852323553513, Final reward 0.0,  Reward 400.0, Record 2848.0
Game 148, Game Loss -2.5532601946866242e+25, Mean Loss -6.982435626046686e+24, Actions 27, Mean reward 507.8995467271869, Final reward 0.0,  Reward 780.0, Record 2848.0
Game 149, Game Loss -2.575181844175219e+25, Mean Loss -7.108404406100782e+24, Actions 32, Mean reward 512.866663863246, Final reward 0.0,  Reward 1248.0, Record 2848.0
Game 150, Game Loss -2.7457780251217875e+25, Mean Loss -7.244066950165613e+24, Actions 18, Mean reward 517.9808861041578, Final reward 0.0,  Reward 1280.0, Record 2848.0
Game 151, Game Loss -2.31592507718718e+25, Mean Loss -7.349465304734514e+24, Actions 9, Mean reward 515.8750524213488, Final reward 0.0,  Reward 200.0, Record 2848.0
Game 152, Game Loss -1.8216462991143894e+25, Mean Loss -7.420958543695937e+24, Actions 7, Mean reward 509.9811376027872, Final reward 0.0,  Reward -380.0, Record 2848.0
Game 153, Game Loss -2.384806141895615e+25, Mean Loss -7.528324935273202e+24, Actions 18, Mean reward 505.6544635008082, Final reward 0.0,  Reward -152.0, Record 2848.0
Game 154, Game Loss -2.2352454749692e+25, Mean Loss -7.624585810457341e+24, Actions 7, Mean reward 503.79956438716664, Final reward 0.0,  Reward 220.0, Record 2848.0
Game 155, Game Loss -2.9006056986498484e+25, Mean Loss -7.762530562640541e+24, Actions 28, Mean reward 512.8073091330559, Final reward 0.0,  Reward 1900.0, Record 2848.0
Game 156, Game Loss -2.5164386488410926e+25, Mean Loss -7.874080906358025e+24, Actions 23, Mean reward 513.161108433485, Final reward 0.0,  Reward 568.0, Record 2848.0
Game 157, Game Loss -2.4691501898238372e+25, Mean Loss -7.981197690429542e+24, Actions 8, Mean reward 512.0581714370934, Final reward 0.0,  Reward 340.0, Record 2848.0
Game 158, Game Loss -2.877936033689065e+25, Mean Loss -8.112832503218029e+24, Actions 15, Mean reward 504.69071465584597, Final reward 0.0,  Reward -652.0, Record 2848.0
