Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 110, Game Loss 0.2416307032108307, Mean Loss 412529280.0, Actions 21, Mean reward 3371.6104979324414, Final reward 1.5,  Reward 2383.3514392736624, Record 14770.978776043454
Game 111, Game Loss 0.24809637665748596, Mean Loss 408812800.0, Actions 52, Mean reward 3401.005788006374, Final reward 3.0,  Reward 6634.487696138978, Record 14770.978776043454
Game 112, Game Loss 0.2637322247028351, Mean Loss 405162688.0, Actions 58, Mean reward 3435.4249807234387, Final reward 2.0,  Reward 7255.955372317652, Record 14770.978776043454
Game 113, Game Loss 0.2519500255584717, Mean Loss 401577184.0, Actions 43, Mean reward 3445.6799779980297, Final reward 1.5,  Reward 4594.23967275224, Record 14770.978776043454
Game 114, Game Loss 0.2623246908187866, Mean Loss 398054560.0, Actions 70, Mean reward 3479.541032921324, Final reward 2.0,  Reward 7305.840239253599, Record 14770.978776043454
Game 115, Game Loss 0.27118784189224243, Mean Loss 394593216.0, Actions 43, Mean reward 3494.029391942041, Final reward 2.5,  Reward 5145.702320303742, Record 14770.978776043454
Game 116, Game Loss 0.2581723630428314, Mean Loss 391191552.0, Actions 87, Mean reward 3540.284913163119, Final reward 3.0,  Reward 8859.669853587107, Record 14770.978776043454
Game 117, Game Loss 0.2532998323440552, Mean Loss 387848032.0, Actions 19, Mean reward 3532.541741036494, Final reward 2.0,  Reward 2634.3337743479924, Record 14770.978776043454
Game 118, Game Loss 0.22078081965446472, Mean Loss 384561184.0, Actions 27, Mean reward 3529.526375506432, Final reward 1.0,  Reward 3176.7286084891366, Record 14770.978776043454
Game 119, Game Loss 0.20804435014724731, Mean Loss 381329568.0, Actions 8, Mean reward 3504.8040730046732, Final reward 0.5,  Reward 587.572377797138, Record 14770.978776043454
Game 120, Game Loss 0.24623043835163116, Mean Loss 378151840.0, Actions 10, Mean reward 3486.4720238894142, Final reward 0.5,  Reward 1304.9581791735773, Record 14770.978776043454
Game 121, Game Loss 0.2589848041534424, Mean Loss 375026624.0, Actions 15, Mean reward 3471.0290515461143, Final reward 1.0,  Reward 1617.8723703501423, Record 14770.978776043454
Game 122, Game Loss 0.22927743196487427, Mean Loss 371952608.0, Actions 18, Mean reward 3466.1034219979683, Final reward 2.5,  Reward 2870.1022466723334, Record 14770.978776043454
Game 123, Game Loss 0.24845224618911743, Mean Loss 368928608.0, Actions 22, Mean reward 3461.87546376977, Final reward 2.5,  Reward 2946.0645599295103, Record 14770.978776043454
Game 124, Game Loss 0.27659255266189575, Mean Loss 365953376.0, Actions 50, Mean reward 3481.9310139935296, Final reward 2.5,  Reward 5948.763691516033, Record 14770.978776043454
Game 125, Game Loss 0.3012014329433441, Mean Loss 363025760.0, Actions 34, Mean reward 3498.558429804086, Final reward 4.0,  Reward 5560.357990313011, Record 14770.978776043454
Game 126, Game Loss 0.3408118188381195, Mean Loss 360144608.0, Actions 7, Mean reward 3472.5381248056406, Final reward 0.0,  Reward 220.0, Record 14770.978776043454
Game 127, Game Loss 0.3052690625190735, Mean Loss 357308832.0, Actions 25, Mean reward 3465.6640905895615, Final reward 1.0,  Reward 2599.535779363585, Record 14770.978776043454
Game 128, Game Loss 0.2955080270767212, Mean Loss 354517344.0, Actions 39, Mean reward 3472.9688595003804, Final reward 2.5,  Reward 4400.674511174382, Record 14770.978776043454
Game 129, Game Loss 0.29492902755737305, Mean Loss 351769152.0, Actions 35, Mean reward 3481.445001653638, Final reward 1.0,  Reward 4566.391197270592, Record 14770.978776043454
Game 130, Game Loss 0.32485321164131165, Mean Loss 349063232.0, Actions 36, Mean reward 3478.2805913842035, Final reward 1.5,  Reward 3070.071666627201, Record 14770.978776043454
Game 131, Game Loss 0.29585641622543335, Mean Loss 346398624.0, Actions 27, Mean reward 3479.0810177722406, Final reward 2.5,  Reward 3583.1364482170356, Record 14770.978776043454
Game 132, Game Loss 0.3330540657043457, Mean Loss 343774400.0, Actions 150, Mean reward 3568.5560505731846, Final reward 1.5,  Reward 15289.785347496849, Record 15289.785347496849
Game 133, Game Loss 0.3434754014015198, Mean Loss 341189632.0, Actions 5, Mean reward 3545.236841474863, Final reward 1.0,  Reward 467.1012404963846, Record 15289.785347496849
Game 134, Game Loss 0.3054070472717285, Mean Loss 338643424.0, Actions 18, Mean reward 3538.6283085178284, Final reward 2.0,  Reward 2659.6934252322594, Record 15289.785347496849
Game 135, Game Loss 0.29167354106903076, Mean Loss 336134976.0, Actions 82, Mean reward 3578.8719472209905, Final reward 2.0,  Reward 8971.519533444734, Record 15289.785347496849
Game 136, Game Loss 0.2825012505054474, Mean Loss 333663392.0, Actions 34, Mean reward 3586.090036401062, Final reward 2.5,  Reward 4560.532075710698, Record 15289.785347496849
Game 137, Game Loss 0.2809022068977356, Mean Loss 331227872.0, Actions 57, Mean reward 3618.005130559964, Final reward 3.5,  Reward 7958.4579361706, Record 15289.785347496849
Game 138, Game Loss 0.27982479333877563, Mean Loss 328827680.0, Actions 12, Mean reward 3598.30944120808, Final reward 0.0,  Reward 900.0, Record 15289.785347496849
