Game 200, Final reward 0, Action Counter 6, plot_mean_rewards-19.515,  Reward -9, Record 0
Game 201, Final reward 0, Action Counter 5, plot_mean_rewards-19.47761194029851,  Reward -12, Record 0
Game 202, Final reward 0, Action Counter 6, plot_mean_rewards-19.455445544554454,  Reward -15, Record 0
Game 203, Final reward 0, Action Counter 6, plot_mean_rewards-19.41871921182266,  Reward -12, Record 0
Game 204, Final reward 0, Action Counter 17, plot_mean_rewards-19.455882352941178,  Reward -27, Record 0
Game 205, Final reward 0, Action Counter 23, plot_mean_rewards-19.507317073170732,  Reward -30, Record 0
Game 206, Final reward 0, Action Counter 13, plot_mean_rewards-19.485436893203882,  Reward -15, Record 0
Game 207, Final reward 0, Action Counter 8, plot_mean_rewards-19.434782608695652,  Reward -9, Record 0
Game 208, Final reward 0, Action Counter 12, plot_mean_rewards-19.41346153846154,  Reward -15, Record 0
Game 209, Final reward 0, Action Counter 7, plot_mean_rewards-19.37799043062201,  Reward -12, Record 0
Game 210, Final reward 0, Action Counter 26, plot_mean_rewards-19.485714285714284,  Reward -42, Record 0
Game 211, Final reward 0, Action Counter 15, plot_mean_rewards-19.47867298578199,  Reward -18, Record 0
Game 212, Final reward 0, Action Counter 24, plot_mean_rewards-19.54245283018868,  Reward -33, Record 0
Game 213, Final reward 0, Action Counter 13, plot_mean_rewards-19.535211267605632,  Reward -18, Record 0
Game 214, Final reward 0, Action Counter 23, plot_mean_rewards-19.52803738317757,  Reward -18, Record 0
Game 215, Final reward 0, Action Counter 9, plot_mean_rewards-19.47906976744186,  Reward -9, Record 0
Game 216, Final reward 0, Action Counter 15, plot_mean_rewards-19.5,  Reward -24, Record 0
Game 217, Final reward 0, Action Counter 8, plot_mean_rewards-19.451612903225808,  Reward -9, Record 0
Game 218, Final reward 0, Action Counter 8, plot_mean_rewards-19.41743119266055,  Reward -12, Record 0
Game 219, Final reward 0, Action Counter 6, plot_mean_rewards-19.397260273972602,  Reward -15, Record 0
Game 220, Final reward 0, Action Counter 10, plot_mean_rewards-19.37727272727273,  Reward -15, Record 0
Game 221, Final reward 0, Action Counter 5, plot_mean_rewards-19.316742081447963,  Reward -6, Record 0
Game 222, Final reward 0, Action Counter 11, plot_mean_rewards-19.31081081081081,  Reward -18, Record 0
Game 223, Final reward 0, Action Counter 44, plot_mean_rewards-19.47982062780269,  Reward -57, Record 0
Game 224, Final reward 0, Action Counter 19, plot_mean_rewards-19.526785714285715,  Reward -30, Record 0
Game 225, Final reward 0, Action Counter 5, plot_mean_rewards-19.48,  Reward -9, Record 0
Game 226, Final reward 0, Action Counter 5, plot_mean_rewards-19.43362831858407,  Reward -9, Record 0
Game 227, Final reward 0, Action Counter 10, plot_mean_rewards-19.400881057268723,  Reward -12, Record 0
Game 228, Final reward 0, Action Counter 5, plot_mean_rewards-19.355263157894736,  Reward -9, Record 0
Game 229, Final reward 0, Action Counter 5, plot_mean_rewards-19.29694323144105,  Reward -6, Record 0
Game 230, Final reward 0, Action Counter 19, plot_mean_rewards-19.278260869565216,  Reward -15, Record 0
Game 231, Final reward 0, Action Counter 68, plot_mean_rewards-19.636363636363637,  Reward -102, Record 0
Game 232, Final reward 0, Action Counter 8, plot_mean_rewards-19.603448275862068,  Reward -12, Record 0
Game 233, Final reward 0, Action Counter 5, plot_mean_rewards-19.55793991416309,  Reward -9, Record 0
Game 234, Final reward 0, Action Counter 7, plot_mean_rewards-19.53846153846154,  Reward -15, Record 0
Game 235, Final reward 0, Action Counter 5, plot_mean_rewards-19.506382978723405,  Reward -12, Record 0
Game 236, Final reward 0, Action Counter 5, plot_mean_rewards-19.4364406779661,  Reward -3, Record 0
