Command main.py play --no-gui --agents train_rule_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 70, Game Loss 2.5278193950653076, Mean Loss 4001600512.0, Actions 21, Mean reward 930.0, Reward 1600, Record 6900
Game 71, Game Loss 4.920206546783447, Mean Loss 3945240064.0, Actions 18, Mean reward 926.7605633802817, Reward 700, Record 6900
Game 72, Game Loss 1.5706335306167603, Mean Loss 3890445056.0, Actions 7, Mean reward 916.6666666666666, Reward 200, Record 6900
Game 73, Game Loss 5.1340460777282715, Mean Loss 3837151232.0, Actions 17, Mean reward 915.068493150685, Reward 800, Record 6900
Game 74, Game Loss 3.2036492824554443, Mean Loss 3785297920.0, Actions 7, Mean reward 910.8108108108108, Reward 600, Record 6900
Game 75, Game Loss 3.1288034915924072, Mean Loss 3734827264.0, Actions 41, Mean reward 938.6666666666666, Reward 3000, Record 6900
Game 76, Game Loss 4.086315631866455, Mean Loss 3685684736.0, Actions 11, Mean reward 928.9473684210526, Reward 200, Record 6900
Game 77, Game Loss 3.1443071365356445, Mean Loss 3637818624.0, Actions 9, Mean reward 924.6753246753246, Reward 600, Record 6900
Game 78, Game Loss 3.2143473625183105, Mean Loss 3591180032.0, Actions 71, Mean reward 979.4871794871794, Reward 5200, Record 6900
Game 79, Game Loss 5.319045543670654, Mean Loss 3545722112.0, Actions 16, Mean reward 975.9493670886076, Reward 700, Record 6900
