Command main.py play --no-gui --agents simple_net_ppo rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 131, Game Loss -5.37941352100533e+21, Mean Loss -1.5447745008972847e+21, Actions 6, Mean reward 395.29024802176923, Final reward 0.0,  Reward -100.0, Record 1848.0
Game 132, Game Loss -7.181281776868082e+21, Mean Loss -1.587475380764198e+21, Actions 13, Mean reward 396.8410794761498, Final reward 0.0,  Reward 600.0, Record 1848.0
Game 133, Game Loss -7.533700832608798e+21, Mean Loss -1.6321837401650118e+21, Actions 17, Mean reward 399.87234955527646, Final reward 0.0,  Reward 800.0, Record 1848.0
Game 134, Game Loss -7.298177771746064e+21, Mean Loss -1.6744671926414633e+21, Actions 10, Mean reward 399.1270335138192, Final reward 0.0,  Reward 300.0, Record 1848.0
Game 135, Game Loss -7.053151552719624e+21, Mean Loss -1.7143094126449032e+21, Actions 6, Mean reward 396.9112777100131, Final reward 0.0,  Reward 100.0, Record 1848.0
Game 136, Game Loss -6.884707356506759e+21, Mean Loss -1.7523269711118163e+21, Actions 8, Mean reward 396.1986947856748, Final reward 0.0,  Reward 300.0, Record 1848.0
Game 137, Game Loss -7.411993304478924e+21, Mean Loss -1.7936384904936859e+21, Actions 14, Mean reward 398.0366605171662, Final reward 0.0,  Reward 648.0, Record 1848.0
Game 138, Game Loss -6.433651587627281e+21, Mean Loss -1.8272616616241922e+21, Actions 9, Mean reward 393.8624818177665, Final reward 0.0,  Reward -178.0, Record 1848.0
Game 139, Game Loss -8.039369502369585e+21, Mean Loss -1.8719531325264033e+21, Actions 9, Mean reward 392.4677877039696, Final reward 0.0,  Reward 200.0, Record 1848.0
Game 140, Game Loss -8.394632581274986e+21, Mean Loss -1.9185437150964812e+21, Actions 18, Mean reward 391.4358749346555, Final reward 0.0,  Reward 248.0, Record 1848.0
Game 141, Game Loss -8.45354754570034e+21, Mean Loss -1.9648912440241695e+21, Actions 27, Mean reward 397.09945028972885, Final reward 0.0,  Reward 1190.0, Record 1848.0
Game 142, Game Loss -7.797887616249886e+21, Mean Loss -2.0059687169629041e+21, Actions 6, Mean reward 393.5987499355758, Final reward 0.0,  Reward -100.0, Record 1848.0
Game 143, Game Loss -9.264069940787416e+21, Mean Loss -2.0567247069758347e+21, Actions 12, Mean reward 395.74141601994245, Final reward 0.0,  Reward 700.0, Record 1848.0
Game 144, Game Loss -9.093711151782966e+21, Mean Loss -2.1055927035824785e+21, Actions 15, Mean reward 392.9932117420262, Final reward 0.0,  Reward 0.0, Record 1848.0
Game 145, Game Loss -8.9471015324635e+21, Mean Loss -2.1527755095035557e+21, Actions 18, Mean reward 393.7311895920812, Final reward 0.0,  Reward 500.0, Record 1848.0
Game 146, Game Loss -1.048997678095543e+22, Mean Loss -2.2098796046662416e+21, Actions 18, Mean reward 396.8426198003546, Final reward 0.0,  Reward 848.0, Record 1848.0
Game 147, Game Loss -9.76006487854861e+21, Mean Loss -2.2612413288290535e+21, Actions 18, Mean reward 401.2722618425291, Final reward 0.0,  Reward 1048.0, Record 1848.0
Game 148, Game Loss -1.1078244845581911e+22, Mean Loss -2.3208156483873522e+21, Actions 31, Mean reward 398.2096114246741, Final reward 0.0,  Reward -52.0, Record 1848.0
Game 149, Game Loss -1.0771533948359285e+22, Mean Loss -2.377531871032131e+21, Actions 18, Mean reward 395.724983160079, Final reward 0.0,  Reward 28.0, Record 1848.0
Game 150, Game Loss -1.1189597472268554e+22, Mean Loss -2.4362790763713654e+21, Actions 26, Mean reward 401.40681660567844, Final reward 0.0,  Reward 1248.0, Record 1848.0
Game 151, Game Loss -1.1853963985698622e+22, Mean Loss -2.498648020235936e+21, Actions 28, Mean reward 408.68226815133625, Final reward 0.0,  Reward 1500.0, Record 1848.0
Game 152, Game Loss -1.2123275865715657e+22, Mean Loss -2.5619680680468116e+21, Actions 12, Mean reward 408.94093743981426, Final reward 0.0,  Reward 448.0, Record 1848.0
