Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 107, Game Loss 3.241126537322998, Mean Loss 7.460545539855957, Actions 18, Mean reward 614.6563484945968, Final reward 0.0,  Reward 1048.0, Record 2448.0
Game 108, Game Loss 11.051651954650879, Mean Loss 7.493796348571777, Actions 12, Mean reward 609.8910119344617, Final reward 0.0,  Reward 100.0, Record 2448.0
Game 109, Game Loss 3.3905341625213623, Mean Loss 7.456151962280273, Actions 19, Mean reward 614.827791641485, Final reward 0.0,  Reward 1148.0, Record 2448.0
Game 110, Game Loss 6.765964508056641, Mean Loss 7.449877738952637, Actions 18, Mean reward 620.5839026265625, Final reward 0.0,  Reward 1248.0, Record 2448.0
Game 111, Game Loss 5.771572113037109, Mean Loss 7.434757709503174, Actions 19, Mean reward 621.263326927224, Final reward 0.0,  Reward 696.0, Record 2448.0
Game 112, Game Loss 4.823890209197998, Mean Loss 7.411446571350098, Actions 30, Mean reward 632.2163329368024, Final reward 0.0,  Reward 1848.0, Record 2448.0
Game 113, Game Loss 6.592512130737305, Mean Loss 7.404199600219727, Actions 13, Mean reward 628.5684007869191, Final reward 0.0,  Reward 220.0, Record 2448.0
Game 114, Game Loss 7.279681205749512, Mean Loss 7.403107166290283, Actions 11, Mean reward 623.0546428852796, Final reward 0.0,  Reward 0.0, Record 2448.0
Game 115, Game Loss 5.725077152252197, Mean Loss 7.388515949249268, Actions 12, Mean reward 620.2454720775814, Final reward 0.0,  Reward 300.0, Record 2448.0
Game 116, Game Loss 3.8486623764038086, Mean Loss 7.357999801635742, Actions 17, Mean reward 623.6916318010506, Final reward 0.0,  Reward 1020.0, Record 2448.0
Game 117, Game Loss 8.44594669342041, Mean Loss 7.367298126220703, Actions 14, Mean reward 620.9250366574519, Final reward 0.0,  Reward 300.0, Record 2448.0
Game 118, Game Loss 13.661192893981934, Mean Loss 7.420636177062988, Actions 6, Mean reward 613.1205871942531, Final reward 0.0,  Reward -300.0, Record 2448.0
Game 119, Game Loss 2.8509199619293213, Mean Loss 7.382235050201416, Actions 18, Mean reward 616.7750360413602, Final reward 0.0,  Reward 1048.0, Record 2448.0
Game 120, Game Loss 5.0154523849487305, Mean Loss 7.36251163482666, Actions 15, Mean reward 613.3019107410156, Final reward 0.0,  Reward 200.0, Record 2448.0
Game 121, Game Loss 5.509397506713867, Mean Loss 7.347196578979492, Actions 9, Mean reward 608.2332999084451, Final reward 0.0,  Reward 0.0, Record 2448.0
Game 122, Game Loss 4.247725009918213, Mean Loss 7.321791172027588, Actions 22, Mean reward 612.2641744993596, Final reward 0.0,  Reward 1100.0, Record 2448.0
Game 123, Game Loss 3.768676996231079, Mean Loss 7.292904376983643, Actions 17, Mean reward 616.619750316438, Final reward 0.0,  Reward 1148.0, Record 2448.0
Game 124, Game Loss 6.564657688140869, Mean Loss 7.287031173706055, Actions 20, Mean reward 621.9695910396924, Final reward 0.0,  Reward 1280.0, Record 2448.0
Game 125, Game Loss 4.328976154327393, Mean Loss 7.26336669921875, Actions 16, Mean reward 623.7778343113749, Final reward 0.0,  Reward 848.0, Record 2448.0
Game 126, Game Loss 5.524144649505615, Mean Loss 7.249563694000244, Actions 23, Mean reward 623.7478514993799, Final reward 0.0,  Reward 620.0, Record 2448.0
Game 127, Game Loss 2.9045562744140625, Mean Loss 7.21535062789917, Actions 22, Mean reward 628.6632227474163, Final reward 0.0,  Reward 1248.0, Record 2448.0
Game 128, Game Loss 10.719659805297852, Mean Loss 7.242728233337402, Actions 8, Mean reward 621.7205413197021, Final reward 0.0,  Reward -260.0, Record 2448.0
Game 129, Game Loss 10.710400581359863, Mean Loss 7.269609451293945, Actions 13, Mean reward 616.9010022397044, Final reward 0.0,  Reward 0.0, Record 2448.0
Game 130, Game Loss 15.092065811157227, Mean Loss 7.329782009124756, Actions 6, Mean reward 609.8479176070913, Final reward 0.0,  Reward -300.0, Record 2448.0
Game 131, Game Loss 5.606600761413574, Mean Loss 7.3166279792785645, Actions 14, Mean reward 606.1086205261212, Final reward 0.0,  Reward 120.0, Record 2448.0
Game 132, Game Loss 5.379258155822754, Mean Loss 7.301950931549072, Actions 17, Mean reward 608.6987067342566, Final reward 0.0,  Reward 948.0, Record 2448.0
Game 133, Game Loss 6.582817554473877, Mean Loss 7.296544075012207, Actions 12, Mean reward 606.5280397663298, Final reward 0.0,  Reward 320.0, Record 2448.0
