Command main.py play --no-gui --agents ppo2_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 124, Game Loss -9.129267035656684e+19, Mean Loss -1.981746563763929e+19, Actions 22, Mean reward 1354.6697485078407, Final reward 2.0,  Reward 2315.902828673445, Record 6407.551339634509
Game 125, Game Loss -7.270377262352538e+19, Mean Loss -2.0240557712007496e+19, Actions 5, Mean reward 1347.872390519778, Final reward 1.0,  Reward 505.0, Record 6407.551339634509
Game 126, Game Loss -6.280516850582081e+19, Mean Loss -2.0578371664525394e+19, Actions 5, Mean reward 1340.5083239283513, Final reward 0.0,  Reward 420.0, Record 6407.551339634509
Game 127, Game Loss -8.523425573440481e+19, Mean Loss -2.1087474135488004e+19, Actions 7, Mean reward 1334.8350300391517, Final reward 0.0,  Reward 620.0, Record 6407.551339634509
Game 128, Game Loss -7.063888978656205e+19, Mean Loss -2.147459458744189e+19, Actions 7, Mean reward 1329.4339751169707, Final reward 0.5,  Reward 643.5, Record 6407.551339634509
Game 129, Game Loss -9.636472629159055e+19, Mean Loss -2.2055136726907617e+19, Actions 22, Mean reward 1336.759968949298, Final reward 1.5,  Reward 2274.4871794871797, Record 6407.551339634509
Game 130, Game Loss -1.0448375764560013e+20, Mean Loss -2.2689205291436737e+19, Actions 9, Mean reward 1333.4348922650727, Final reward 0.5,  Reward 904.5, Record 6407.551339634509
Game 131, Game Loss -9.438587804047743e+19, Mean Loss -2.323650699537154e+19, Actions 10, Mean reward 1330.622412171446, Final reward 0.5,  Reward 965.0, Record 6407.551339634509
Game 132, Game Loss -7.262575567646491e+19, Mean Loss -2.3610668603280458e+19, Actions 7, Mean reward 1325.5684545034806, Final reward 0.5,  Reward 663.5, Record 6407.551339634509
Game 133, Game Loss -7.382544160962432e+19, Mean Loss -2.3988225503095947e+19, Actions 5, Mean reward 1319.0040300335297, Final reward 0.5,  Reward 452.5, Record 6407.551339634509
Game 134, Game Loss -1.00247656003128e+20, Mean Loss -2.4557323925539783e+19, Actions 14, Mean reward 1318.8622089138764, Final reward 0.0,  Reward 1300.0, Record 6407.551339634509
Game 135, Game Loss -7.995492866340579e+19, Mean Loss -2.4967677058188575e+19, Actions 5, Mean reward 1312.518785144144, Final reward 0.5,  Reward 462.5, Record 6407.551339634509
Game 136, Game Loss -1.0828076712049666e+20, Mean Loss -2.5580274359650484e+19, Actions 21, Mean reward 1320.5183642126542, Final reward 2.0,  Reward 2400.4615384615386, Record 6407.551339634509
Game 137, Game Loss -1.1763786615956806e+20, Mean Loss -2.6252227696826253e+19, Actions 11, Mean reward 1319.1771446509056, Final reward 0.5,  Reward 1136.7712842531055, Record 6407.551339634509
Game 138, Game Loss -1.1476422654967782e+20, Mean Loss -2.689361900879636e+19, Actions 14, Mean reward 1321.0177582272167, Final reward 0.5,  Reward 1573.181818181819, Record 6407.551339634509
Game 139, Game Loss -1.0100907220340939e+20, Mean Loss -2.742682277463982e+19, Actions 11, Mean reward 1319.131539343088, Final reward 0.5,  Reward 1058.8333333333335, Record 6407.551339634509
Game 140, Game Loss -9.197135050588134e+19, Mean Loss -2.7887854597236064e+19, Actions 15, Mean reward 1320.9877426334945, Final reward 1.0,  Reward 1579.0, Record 6407.551339634509
Game 141, Game Loss -1.2953203110512794e+20, Mean Loss -2.8608736201847865e+19, Actions 20, Mean reward 1325.5906664446045, Final reward 0.5,  Reward 1970.0, Record 6407.551339634509
Game 142, Game Loss -1.2275604880640023e+20, Mean Loss -2.927174391242005e+19, Actions 8, Mean reward 1321.588417274242, Final reward 0.0,  Reward 757.2712842531055, Record 6407.551339634509
Game 143, Game Loss -9.924449677831727e+19, Mean Loss -2.9761063970175713e+19, Actions 5, Mean reward 1315.3010856849114, Final reward 0.5,  Reward 422.5, Record 6407.551339634509
Game 144, Game Loss -1.1990973865752999e+20, Mean Loss -3.0387097303729046e+19, Actions 6, Mean reward 1309.7989948120996, Final reward 0.5,  Reward 523.0, Record 6407.551339634509
Game 145, Game Loss -1.2352158157821601e+20, Mean Loss -3.1029403409373463e+19, Actions 9, Mean reward 1306.7279672616714, Final reward 0.5,  Reward 864.5, Record 6407.551339634509
Game 146, Game Loss -1.3514714023115673e+20, Mean Loss -3.1742537855055954e+19, Actions 12, Mean reward 1305.7366798146736, Final reward 0.5,  Reward 1162.0, Record 6407.551339634509
Game 147, Game Loss -1.2350423568277622e+20, Mean Loss -3.236677018856299e+19, Actions 9, Mean reward 1302.4323486594717, Final reward 0.0,  Reward 820.0, Record 6407.551339634509
Game 148, Game Loss -1.4382353601951852e+20, Mean Loss -3.311985648875235e+19, Actions 15, Mean reward 1303.682805763124, Final reward 0.5,  Reward 1487.5, Record 6407.551339634509
Game 149, Game Loss -1.2095440664531252e+20, Mean Loss -3.3709348652868174e+19, Actions 6, Mean reward 1298.5574178049822, Final reward 0.0,  Reward 540.0, Record 6407.551339634509
