Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 107, Game Loss -2.8464876540274305e+20, Mean Loss -1.0623547318269379e+20, Actions 9, Mean reward 138.9261874496225, Final reward 0.0,  Reward -200.0, Record 2396.0
Game 108, Game Loss -3.188107675996038e+20, Mean Loss -1.0820376612218025e+20, Actions 17, Mean reward 141.52872275101487, Final reward 0.0,  Reward 420.0, Record 2396.0
Game 109, Game Loss -3.254981908337839e+20, Mean Loss -1.101972862564544e+20, Actions 10, Mean reward 143.16607391843675, Final reward 0.0,  Reward 320.0, Record 2396.0
Game 110, Game Loss -2.5538235192269446e+20, Mean Loss -1.1151714881052973e+20, Actions 12, Mean reward 146.0422097888373, Final reward 0.0,  Reward 459.54101966249686, Record 2396.0
Game 111, Game Loss -3.006134807240041e+20, Mean Loss -1.1322071453441982e+20, Actions 7, Mean reward 146.70849618713606, Final reward 0.0,  Reward 220.0, Record 2396.0
Game 112, Game Loss -3.102720834435977e+20, Mean Loss -1.1498010906072187e+20, Actions 21, Mean reward 147.36288461403663, Final reward 0.0,  Reward 220.0, Record 2396.0
Game 113, Game Loss -3.2495564781617414e+20, Mean Loss -1.1683830130384935e+20, Actions 12, Mean reward 148.89064669709825, Final reward 0.0,  Reward 320.0, Record 2396.0
Game 114, Game Loss -2.8997224886071355e+20, Mean Loss -1.1835701713287774e+20, Actions 10, Mean reward 148.6372199716851, Final reward 0.0,  Reward 120.0, Record 2396.0
Game 115, Game Loss -3.883887781989434e+20, Mean Loss -1.2070512536906315e+20, Actions 16, Mean reward 153.43167892845307, Final reward 0.0,  Reward 700.0, Record 2396.0
Game 116, Game Loss -3.6763369302560185e+20, Mean Loss -1.2283381506480957e+20, Actions 26, Mean reward 156.59175066182848, Final reward 0.0,  Reward 520.0, Record 2396.0
Game 117, Game Loss -3.342477349317184e+20, Mean Loss -1.2464077886217572e+20, Actions 10, Mean reward 156.10806048523165, Final reward 0.0,  Reward 100.0, Record 2396.0
Game 118, Game Loss -3.282225167646222e+20, Mean Loss -1.263660445475516e+20, Actions 11, Mean reward 154.1410430234924, Final reward 0.0,  Reward -76.0, Record 2396.0
Game 119, Game Loss -3.475077747939528e+20, Mean Loss -1.2822437752816743e+20, Actions 9, Mean reward 154.69447963674037, Final reward 0.0,  Reward 220.0, Record 2396.0
Game 120, Game Loss -4.071339913010825e+20, Mean Loss -1.305486307600766e+20, Actions 19, Mean reward 158.57202563976753, Final reward 0.0,  Reward 620.0, Record 2396.0
Game 121, Game Loss -3.70715245886258e+20, Mean Loss -1.3253347794663086e+20, Actions 12, Mean reward 155.1127527005959, Final reward 0.0,  Reward -260.0, Record 2396.0
Game 122, Game Loss -3.34306598386223e+20, Mean Loss -1.341873545410385e+20, Actions 6, Mean reward 154.82494325223036, Final reward 0.0,  Reward 120.0, Record 2396.0
Game 123, Game Loss -3.2994531954395185e+20, Mean Loss -1.357788756320117e+20, Actions 5, Mean reward 152.26539086806588, Final reward 0.0,  Reward -160.0, Record 2396.0
Game 124, Game Loss -4.079478058274972e+20, Mean Loss -1.3797378231602931e+20, Actions 14, Mean reward 153.45679900622665, Final reward 0.0,  Reward 300.0, Record 2396.0
Game 125, Game Loss -3.925788850710024e+20, Mean Loss -1.4001062320843784e+20, Actions 12, Mean reward 150.14914461417683, Final reward 0.0,  Reward -260.0, Record 2396.0
